region_id;parent_id;regionname;cityname;code;stat;timezone;active;lat;lon;en_regionname;en_cityname;es_regionname;es_cityname;de_regionname;de_cityname;it_regionname;it_cityname;fr_regionname;fr_cityname
3965;107;;Сясьстрой;;0.000000;Europe/Moscow;0;60.145868;32.557437;Syasstroy;;Siastrói;;Sjasstroi;;Sjas'stroj;;Siasstroï;
1685;248;;Сямынь;;0.000000;Asia/Shanghai;0;24.445024;118.148077;Xiamen;;Xiamén;;Xiamen;;Xiamen;;Xiamen;
3161;23;;Сямжа;;0.000000;Europe/Moscow;0;60.017453;41.078545;Syamzha;;Syamzha;;Sjamscha;;Syamzha;;Syamzha;
4996;295;;Сюрпрайз;;0.000000;America/Phoenix;0;33.630600;-112.333000;Surprise;;Surprise;;Surprise;;Surprise;;Surprise;
3307;39;;Сюмси;;0.000000;Europe/Samara;0;57.112474;51.612312;Syumsi;;Syumsi;;Sjumsi;;Syumsi;;Syumsi;
1589;131;;Сэйдисфьордур;;0.000000;Atlantic/Reykjavik;0;65.267000;-14.000000;Seydisfjordur;;Seyðisfjörður;;Seydisfjördur;;Seyðisfjörður;;Seydisfjordur;
1464;55;;Сьерра-Невада;;0.000000;Europe/Madrid;0;37.090000;-3.343000;Sierra Nevada;;Sierra Nevada;;Sierra Nevada;;Sierra Nevada;;Sierra Nevada;
2536;112;;Сычевка;;0.000000;Europe/Moscow;0;55.821885;34.271817;Sychevka;;Sychevka;;Sytschowka;;Syčëvka;;Sychevka;
3259;32;;Сысерть;;0.000000;Asia/Yekaterinburg;0;56.503097;60.821391;Sysert;;Sysert;;Syssert;;Sysert';;Syssert;
2161;2153;;Сырдарья;;0.000000;Asia/Tashkent;0;40.828541;68.674099;Syr Darya;;Sir Daria;;Syrdarja;;Syrdarya;;Syr-Daria;
4220;191;Сынжерейский район;Сынжерей;;0.000011;Europe/Chisinau;1;47.633933;28.200531;Singerei;Singerei District;Singerei;Distrito de Singerei;Singerei;;Sîngerei;;Singerei;
117;188;Республика Коми;Сыктывкар;;0.001376;Europe/Moscow;1;61.665603;50.801768;Syktyvkar;Komi Republic;Syktyvkar;República de Komi;Syktywkar;Republik Komi;Syktyvkar;Repubblica dei Komi;Syktyvkar;République des Komis
889;106;;Сызрань;;0.000000;Europe/Samara;0;53.120478;48.426365;Syzran;;Syzran;;Sysran;;Syzran';;Syzran;
4500;267;;Счастье;;0.000000;Europe/Zaporozhye;0;48.733000;39.233000;Schastya;;Shchastia;;Schtschastja;;Shchastya;;Chtchastia;
5494;84;;Суэц;;0.000000;Africa/Cairo;0;29.981589;32.549811;Suez;;Suez;;Sues;;Suez;;Suez;
1684;248;;Сучжоу;;0.000000;Asia/Chongqing;0;31.304887;120.662771;Suzhou;;Suzhóu;;Suzhou;;Suzhou;;Suzhou;
2372;77;;Суцу;;0.000000;Asia/Tokyo;0;42.800000;140.233000;Sutsu;;Sutsu;;Sutsu;;Sutsu;;Sutsu;
399;398;Сухумский район;Сухум;;0.000036;Asia/Tbilisi;1;43.017000;40.933000;Sukhum;Sukhumi District;Sujumi;Distrito de Sujumi;Sochumi;Rajon Sochumi;Sukhumi;Distretto di Sukhumi;Soukhoumi;Région de Soukhoumi
3258;32;;Сухой Лог;;0.000000;Asia/Yekaterinburg;0;56.910781;62.032859;Sukhoy Log;;Sukhoy Log;;Suchoi Log;;Suchoj Log;;Soukhoï Log;
3523;54;;Сухобузимское;;0.000000;Asia/Krasnoyarsk;0;56.500502;93.274400;Sukhobuzimskoye;;Sukhobuzimskoye;;Suchobusimskoje;;Suchobuzimskoe;;Soukhobouzimskoïe;
661;44;;Сухиничи;;0.000000;Europe/Moscow;0;54.104070;35.339090;Sukhinichi;;Sukhinichi;;Suchinitschi;;Suchiniči;;Soukhinitchi;
734;62;;Сусуман;;0.000000;Asia/Magadan;0;62.780317;148.107161;Susuman;;Susuman;;Susuman;;Susuman;;Soussouman;
2112;216;;Сусс;;0.000000;Africa/Tunis;0;35.780794;10.641229;Sousse;;Susa;;Sousse;;Susa;;Sousse;
3487;52;;Сусанино;;0.000000;Europe/Moscow;0;58.142943;41.584166;Susanino;;Susanino;;Susanino;;Susanino;;Soussanino;
2686;130;;Сурское;;0.000000;Europe/Ulyanovsk;0;54.481254;46.718888;Surskoye;;Surskoye;;Surskoje;;Surskoye;;Sourskoïe;
3792;96;;Сурск;;0.000000;Europe/Moscow;0;53.076333;45.690198;Sursk;;Sursk;;Sursk;;Sursk;;Soursk;
5192;388;;Суррей;;0.000000;America/Vancouver;0;49.169400;-122.903400;Surrey;;Surrey;;Surrey;;Surrey;;Surrey;
3144;21;;Суровикино;;0.000000;Europe/Volgograd;0;48.609322;42.857738;Surovikino;;Surovikino;;Surowikino;;Surovikino;;Sourovikino;
2092;74;;Сурин;;0.000000;Asia/Bangkok;0;14.867243;103.531633;Surin;;Surin;;Surin;;Surin;;Surin;
1887;174;;Сургхет;;0.000000;Asia/Kathmandu;0;28.600000;81.617000;Surkhet;;Surgkhet;;Surkhet;;Surkhet;;Surkhet;
435;11;;Сургут;;0.001787;Asia/Yekaterinburg;1;61.271196;73.400027;Surgut;;Surgut;;Surgut;;Surgut;;Sourgout;
1431;122;;Сурат;;0.000000;Asia/Kolkata;0;21.194559;72.850093;Surat;;Surat;;Surat;;Surat;;Surate;
3055;13;;Сураж;;0.000000;Europe/Moscow;0;53.017236;32.396296;Surazh;;Surazh;;Surasch;;Suraž;;Souraj;
1554;119;;Сурабая;;0.000000;Asia/Jakarta;0;-7.229957;112.767968;Surabaya;;Surabaya;;Surabaya;;Surabaya;;Surabaya;
3830;170;;Суоярви;;0.000000;Europe/Moscow;0;62.086136;32.380728;Suoyarvi;;Suoyarvi;;Suojarwi;;Suojarvi;;Souoyarvi;
5415;50;;Суонси;;0.000000;Europe/London;0;51.618120;-3.936050;Swansea;;Swansea;;Swansea;;Swansea;;Swansea;
1052;146;;Сунтар;;0.000000;Asia/Yakutsk;0;62.158278;117.654163;Suntar;;Suntar;;Suntar;;Suntar;;Suntar;
2311;48;;Сундсвалль;;0.000000;Europe/Stockholm;0;62.397620;17.281090;Sundsvall;;Sundsvall;;Sundsvall;;Sundsvall;;Sundsvall;
3461;22;;Суна;;0.000000;Europe/Kirov;0;57.832367;50.063799;Suna;;Suna;;Suna;;Suna;;Souna;
274;196;Сумская область;Сумы;;0.000843;Europe/Kiev;1;50.913641;34.807427;Sumy;Sumy Oblast;Sumy;Óblast de Sumy;Sumy;Oblast Sumy;Sumy;Oblast' di Sumy;Soumy;Oblast de Soumy
4198;219;;Сумгаит;;0.000000;Asia/Baku;0;40.586183;49.615536;Sumqayit;;Sumqayit;;Sumqayıt;;Sumqayit;;Sumqayit;
3812;97;;Суксун;;0.000000;Asia/Yekaterinburg;0;57.149373;57.397310;Suksun;;Suksun;;Suksun;;Suksun;;Souksoun;
1212;230;;Сукре;;0.000000;America/La_Paz;0;-19.076237;-65.301312;Sucre;;Sucre;;Sucre;;Sucre;;Sucre;
5414;50;;Суиндон;;0.000000;Europe/London;0;51.561220;-1.783590;Swindon;;Swindon;;Swindon;;Swindon;;Swindon;
811;85;;Сузун;;0.000000;Asia/Novosibirsk;0;53.788348;82.313223;Suzun;;Suzun;;Susun;;Suzun;;Suzun;
